      Freq,      |Vin|,      /_Vin,     |Vout|,     /_Vout,    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),      |Pin|,      /_Pin,   Re(Zout),   Im(Zout),     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),       |Av|,       /_Av,     Re(Ai),     Im(Ai)
        Hz,        dBV,       rads,        dBV,       rads,          A,          A,          A,          A,        dBW,       rads,       Ohms,       Ohms,        dBW,       rads,       Ohms,       Ohms,         dB,       rads,          L,          L
 1.000e+01,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 4.642e+01,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 2.154e+02,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 1.000e+03,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 4.642e+03,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 2.154e+04,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 1.000e+05,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 4.642e+05,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 2.154e+06,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
 1.000e+07,  1.116e+01,  0.000e+00, -2.716e+01,  0.000e+00,  2.769e-02,  0.000e+00,  5.849e-04,  0.000e+00, -9.995e+00,  0.000e+00,  5.029e+01,  0.000e+00, -4.591e+01,  0.000e+00,  1.306e+02,  0.000e+00, -3.832e+01,  0.000e+00,  2.112e-02,  0.000e+00
